Molecule ChEMBL ID,Standardized Smiles,pIC50,MolWt,TPSA,nRotB,HBD,HBA,LogP,NumHetAtoms,NumHeavyAtoms,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,RingCount,FractionCSP3,Asphericity,Eccentricity,InertShpFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadGyr,SphIndex
CHEMBL524457,Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/N1CCCCC1,7.5229,444.21862102000074,97.25,7.0,2.0,8.0,4.1593000000000035,9.0,33.0,0.0,0.0,1.0,2.0,2.0,4.0,5.0,0.25,0.4663294735224981,0.9735326632982535,0.0003501778951949823,0.22854792383963846,0.9026898620689864,2577.8036662375857,10181.484901825896,11279.05090070436,5.199870864226299,0.1637090531173762
CHEMBL589822,O=C1CSC(N/N=C/c2ccc(F)cc2)=N1,5.6615,237.037211096,53.82,2.0,1.0,4.0,1.3786,6.0,16.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.1,0.7025171336758553,0.9937470791378029,0.0024396627923204944,0.11165456867090316,0.9358690528286491,383.6059047891998,3215.317555277977,3435.6489784118107,3.8502817201351722,0.12033432200401903
CHEMBL1081198,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,4.301,503.16814292000066,96.24000000000001,6.0,3.0,6.0,6.066200000000002,11.0,37.0,0.0,0.0,0.0,2.0,3.0,5.0,5.0,0.07692307692307693,0.6108474644387891,0.9882939867486908,0.0003193598389074067,0.15256144911601538,0.8774261504081281,2747.453009150984,15801.417272940085,18008.828737997126,6.025316527110185,0.072466063864573
CHEMBL510597,C=CC(=O)C(CCCN1CCOCC1)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.5699,495.12698717200084,80.24,9.0,1.0,7.0,4.482000000000003,8.0,32.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,0.3333333333333333,0.586853926679258,0.986334119477936,0.000395947661952839,0.16475741183232023,0.9263444347622366,2339.5628356370307,13154.133634817004,14200.046053273107,5.468870605430058,0.19577850617778236
CHEMBL503755,O=S(=O)(CO)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.03,408.9844223440004,117.10000000000001,6.0,3.0,7.0,2.2223999999999995,10.0,24.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.07142857142857142,0.5133762836272924,0.979465918669966,0.000558096063109941,0.201609806715843,0.8484771757723585,1520.306685276177,6398.228060647208,7540.836976342915,4.340652704897603,0.12497652059172838
CHEMBL511874,C/C=C/C(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,9.17,382.0429232000005,66.91,5.0,2.0,4.0,4.650500000000003,6.0,24.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.05555555555555555,0.79424039840686,0.9972539509142684,0.0012653649007046636,0.07405779760350711,0.928759463604124,733.9854796722361,9204.918083620123,9910.981738909788,5.088894973317262,0.007590383216420704
CHEMBL474341,O=C(CCn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21)N1CCOCC1,8.43,480.0909360120006,85.17,5.0,1.0,7.0,3.7345000000000024,9.0,31.0,0.0,0.0,1.0,2.0,2.0,4.0,5.0,0.2727272727272727,0.7897231301534485,0.9970913932969313,0.0007304428790812395,0.07621517836483999,0.971355935636993,1329.8177906241992,16948.414107948796,17448.201515167984,6.0918267117599,0.11496716849749886
CHEMBL489308,O=C(O)CN1Cc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,8.29,384.02218775600045,78.35000000000001,4.0,2.0,6.0,3.5405000000000015,7.0,24.0,0.0,0.0,1.0,2.0,1.0,3.0,4.0,0.11764705882352941,0.7361831556459855,0.9952505109648027,0.0010030149742957775,0.09734690762576467,0.913062699151249,910.318113438252,8538.304235996262,9351.279209996388,4.939782333754172,0.02863565679679047
CHEMBL1233882,CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,6.2147,304.14364451200044,82.51,5.0,1.0,6.0,3.2046,6.0,23.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.17647058823529413,0.4468445510986061,0.9709410262882794,0.0008530876247896984,0.2393188740368436,0.8269327142549314,969.3408862410652,3349.421115754539,4050.415539276828,3.7079574796541763,0.14566005602839935
CHEMBL1241675,Nc1ncnc2c1c(-c1ccn3ccnc3c1)nn2C1CCCC1,4.9208,319.1545435440005,86.91999999999999,3.0,1.0,7.0,2.838300000000001,7.0,24.0,1.0,1.0,1.0,0.0,4.0,4.0,5.0,0.29411764705882354,0.42372567881954376,0.9673209363972882,0.0007207402484256264,0.25355513405859714,0.815662129266366,1131.700541281114,3640.57023187677,4463.3312020397725,3.8024996885422007,0.14923749515109616
